Timestamp,Device ID,Device Type,Power Consumption (W),Room Location,Temperature (°C),Humidity (%),Usage Duration (minutes),Energy Cost ($),On/Off Status
2024-03-25 16:38:00,D-1860,Washing Machine,341.72,Garage,23.95,52.29,75,51.26,On
2024-05-01 16:03:00,D-9322,Laptop Charger,31.24,Bedroom,25.83,76.93,130,8.12,On
2024-06-12 17:56:00,D-5555,Smart Bulb,11.12,Garage,21.48,44.56,59,1.31,On
2024-04-13 19:43:00,D-2899,Heater,2028.47,Living Room,15.7,60.38,21,85.2,On
2024-08-30 16:17:00,D-9792,Washing Machine,732.82,Bedroom,20.78,30.8,130,190.53,On
2024-06-27 03:08:00,D-9226,Laptop Charger,84.56,Bathroom,17.73,67.77,134,22.66,On
2024-08-06 20:19:00,D-7873,TV,94.98,Bedroom,28.42,59.89,48,9.12,On
2024-09-02 12:11:00,D-8869,Smart Plug,4.13,Garage,19.07,71.44,154,1.27,Off
2024-10-27 05:15:00,D-6276,Smart Plug,6.51,Living Room,15.23,51.17,129,1.68,On
2024-04-04 16:10:00,D-7736,Heater,2422.68,Kitchen,26.57,33.7,41,198.66,Off
2024-01-22 04:55:00,D-4104,Air Conditioner,845.34,Office,19.88,66.48,104,175.83,On
2024-05-20 01:04:00,D-9110,Heater,2426.49,Living Room,25.83,41.8,142,689.12,On
2024-03-23 18:16:00,D-8721,Ceiling Fan,70.45,Kitchen,15.47,61.82,52,7.33,On
2024-10-12 15:57:00,D-8574,Refrigerator,220.88,Kitchen,18.05,77.14,71,31.36,On
2024-09-20 21:09:00,D-3693,Air Conditioner,1434.8,Bathroom,17.8,74.63,75,215.22,On
2024-02-22 14:46:00,D-8392,Smart Plug,3.86,Kitchen,21.41,70.9,3,0.02,On
2024-01-16 05:59:00,D-5413,Smart Plug,3.61,Kitchen,19.04,42.21,59,0.43,On
2024-03-23 06:11:00,D-2853,Smart Bulb,14.72,Bathroom,18.7,64.82,131,3.86,On
2024-03-05 18:24:00,D-5737,Smart Bulb,9.11,Garage,20.18,61.72,126,2.3,On
2024-03-28 06:17:00,D-6535,TV,109.27,Kitchen,20.54,42.11,38,8.3,On
2024-03-14 16:01:00,D-8125,TV,103.58,Living Room,17.26,55.41,93,19.27,Off
2024-04-02 23:23:00,D-7546,Washing Machine,605.57,Kitchen,20.23,34.81,161,194.99,On
2024-07-08 18:15:00,D-2802,Smart Bulb,8.41,Living Room,18.14,57.07,42,0.71,On
2024-08-02 13:47:00,D-9815,Ceiling Fan,79.14,Bathroom,18.91,79.81,140,22.16,On
2024-07-21 18:39:00,D-8400,Microwave,1019.05,Kitchen,27.84,50.23,161,328.13,On
2024-09-19 20:00:00,D-6539,Laptop Charger,83.91,Bathroom,23.71,48.61,99,16.61,Off
2024-02-23 19:45:00,D-1956,TV,72.43,Living Room,15.27,54.69,48,6.95,Off
2024-03-30 03:51:00,D-2218,Microwave,1389.14,Living Room,23.14,55.44,119,330.62,On
2024-03-21 19:41:00,D-4436,TV,98.67,Kitchen,21.52,47.5,97,19.14,On
2024-09-13 15:59:00,D-8996,Smart Bulb,9.99,Bathroom,15.36,62.27,17,0.34,Off
2024-07-31 05:48:00,D-2060,Refrigerator,285.66,Living Room,23.29,58.61,116,66.27,On
2024-09-19 08:52:00,D-2184,Microwave,980.31,Bedroom,23.35,76.81,58,113.72,Off
2024-11-05 02:21:00,D-8455,Laptop Charger,70.27,Bedroom,18.81,44.76,17,2.39,Off
2024-09-29 22:02:00,D-8343,TV,105.28,Bedroom,27.14,70.51,153,32.22,On
2024-06-01 18:03:00,D-3950,Ceiling Fan,75.11,Garage,17.91,33.55,144,21.63,On
2024-11-07 19:02:00,D-6919,Air Conditioner,1617.42,Office,19.92,37.75,125,404.35,Off
2024-06-07 06:17:00,D-5777,TV,132.26,Office,23.06,46.33,8,2.12,Off
2024-01-03 02:51:00,D-6222,Refrigerator,117.07,Garage,17.92,50.57,99,23.18,On
2024-02-21 01:23:00,D-1635,Air Conditioner,1821.89,Kitchen,26.93,43.54,92,335.23,Off
2024-01-23 08:57:00,D-6949,Refrigerator,267.2,Living Room,25.33,32.91,122,65.2,On
2024-05-03 02:07:00,D-1559,TV,68.29,Garage,19.2,77.74,69,9.42,On
2024-11-20 05:22:00,D-2679,Ceiling Fan,49.4,Office,15.22,35.8,69,6.82,On
2024-02-24 17:01:00,D-7617,Washing Machine,495.81,Bathroom,17.6,51.69,23,22.81,On
2024-09-07 04:20:00,D-3849,Washing Machine,380.45,Bedroom,24.39,55.16,1,0.76,On
2024-10-03 06:27:00,D-9527,Laptop Charger,68.55,Living Room,28.01,61.82,84,11.52,On
2024-09-02 17:04:00,D-6052,Smart Bulb,10.46,Garage,24.39,71.02,168,3.51,Off
2024-04-15 10:36:00,D-9945,Air Conditioner,1774.51,Living Room,24.84,49.27,90,319.41,On
2024-12-13 10:48:00,D-4267,Microwave,1431.47,Bedroom,24.43,73.87,164,469.52,On
2024-06-01 21:16:00,D-9867,Smart Plug,3.39,Living Room,23.53,58.8,99,0.67,On
2024-02-19 01:20:00,D-3143,Microwave,1008.96,Office,23.43,41.93,13,26.23,Off
2024-10-14 21:28:00,D-9787,Smart Bulb,13.26,Office,19.46,35.0,100,2.65,On
2024-11-19 17:12:00,D-5171,Heater,1709.81,Bathroom,29.25,77.53,83,283.83,On
2024-04-06 19:27:00,D-8266,Refrigerator,220.49,Bathroom,25.09,67.62,151,66.59,Off
2024-03-03 08:20:00,D-6305,Ceiling Fan,41.82,Bedroom,21.62,74.39,75,6.27,On
2024-05-04 10:48:00,D-1953,Ceiling Fan,83.87,Garage,27.58,51.3,168,28.18,On
2024-09-03 16:49:00,D-2540,Ceiling Fan,76.0,Office,29.8,48.71,65,9.88,Off
2024-12-02 19:28:00,D-5312,Microwave,1310.27,Bathroom,20.64,34.18,108,283.02,On
2024-11-07 08:25:00,D-5268,Heater,1022.71,Bathroom,23.57,67.05,61,124.77,Off
2024-07-30 20:22:00,D-7530,Smart Bulb,10.83,Office,21.0,53.89,153,3.31,Off
2024-06-17 14:44:00,D-3105,TV,51.22,Garage,15.65,74.56,118,12.09,Off
2024-07-16 03:16:00,D-7190,Washing Machine,564.7,Office,19.42,79.79,54,60.99,On
2024-04-14 06:39:00,D-9120,Microwave,1698.31,Bedroom,29.26,74.51,152,516.29,On
2024-04-21 15:35:00,D-7819,Ceiling Fan,72.28,Bedroom,18.44,43.3,101,14.6,Off
2024-12-11 12:42:00,D-8102,TV,103.61,Living Room,21.17,60.14,157,32.53,On
2024-03-26 00:02:00,D-6713,TV,91.66,Garage,24.2,50.91,56,10.27,Off
2024-08-09 07:54:00,D-2015,Refrigerator,175.29,Living Room,22.21,79.26,11,3.86,On
2024-04-03 21:50:00,D-4925,Smart Plug,6.65,Living Room,27.57,53.43,99,1.32,On
2024-01-01 06:44:00,D-3000,Microwave,1241.22,Garage,29.95,57.77,53,131.57,Off
2024-04-23 09:13:00,D-8245,Heater,1410.09,Living Room,29.31,60.31,113,318.68,Off
2024-03-05 00:33:00,D-1249,Laptop Charger,61.22,Office,27.47,45.39,54,6.61,Off
2024-03-28 10:37:00,D-7544,Smart Plug,3.17,Garage,24.3,65.2,179,1.13,Off
